address,balance,balanceDec,isContract
0x49be88f0fcc3a8393a59d3688480d7d253c37d2a,674877145058700909924736,674877.1450587009,
0xa5f7a39e55d7878bc5bd754ee5d6bd7a7662355b,273211464745972680196024,273211.46474597265,
0xc8c2b727d864cc75199f5118f0943d2087fb543b,250886552561756473420769,250886.55256175649,
0x8ca24021e3ee3b5c241bbfcee0712554d7dc38a1,176832180779347867612920,176832.18077934787,1
0xd85a7a3c5f08e3e709c233e133ce1335fbbf5518,139378719077462042313876,139378.71907746204,
0x6fdabcd4c1b926310f5a8c4c00efefba3c8dbef4,127037597393652231416788,127037.59739365224,
0x691ce62a208b195accf54c39a98f1112c90046d1,103181103334960629589306,103181.10333496063,
0xe7178db9e123f053aabfd2c28520bf6b63cb4a47,85452569222796292158223,85452.5692227963,1
0x3a2839250072f936f1a1be79a367e18557fb4a2c,43397102187515957209335,43397.10218751596,
0x8af360008769a6fd540cb787ba9abe7066fee9f3,42537025044045914368044,42537.02504404591,
0x0a36260b5ed99e002166f10550afb8f662c6c35d,39806322823920661614260,39806.322823920666,
0xc34a7c65aa08cb36744bda8eeec7b8e9891e147c,39795868343711637457639,39795.868343711634,
0x57757e3d981446d585af0d9ae4d7df6d64647806,38046761223579064057891,38046.761223579066,
0xb3a64875bbda3e61284c996ac2631213e0141bb3,35429297996877308413569,35429.29799687731,
0x46abbc9fc9d8e749746b00865bc2cf7c4d85c837,32913253207185815907155,32913.253207185815,
0x767ecb395def19ab8d1b2fcc89b3ddfbed28fd6b,31696488879457394662179,31696.488879457396,
0xbd2b7b9af0c823f0f02c4c875bba619f95539aea,28623894366984658004557,28623.89436698466,
0x7652a18980f50e1d870952ecbf75ddf98cc45c44,28439856325976661336121,28439.85632597666,
0x8785bc7c6499c6ffcf2f246251c88e222aee6290,27654842232769275345682,27654.842232769275,
0x3fb4981d33258835ed1de86668344ee3f08c626d,27465710220364904957565,27465.710220364905,
0x46bda3282dc731ff27495df3cc6c984039df90fd,24332774115317648014258,24332.774115317647,
0xf731f4c74eae61dfa88e0b6a13f9d2624bf2b16f,24192158903009935948014,24192.158903009935,
0xb696d629cd0a00560151a434f6b4478ad6c228d7,23358145241436199962740,23358.1452414362,
0xd64813e230b945e501aa1969d21fb2072cb95930,20085602002934767540003,20085.602002934767,
0x9b5ea8c719e29a5bd0959faf79c9e5c8206d0499,18603160464074209034001,18603.160464074208,
0xf671284d1f3f4b3bd4bec0959a23e7c5db4a62c3,18466658673983062663157,18466.658673983064,
0xc4b0772b22edb9b1a68a6f51ef6dcb3667f7ce16,18188150816118216443307,18188.150816118217,
0x020b2f1fe869302375a3762c6d510139328c1889,18105920078729396851096,18105.920078729396,1
0x542a0eaf1358480ec0703f07bc3120a6503ebbc1,17518702404216812419634,17518.702404216812,
0x27cc4d6bc95b55a3a981bf1f1c7261cda7bb0931,17391178079779228350163,17391.17807977923,
0x2bde3b9c0129be4689e245ba689b9b0ae4ac666d,16739319017114128080484,16739.31901711413,
0x193991827e291599a262e7fa7d212ff1ae31d110,16558875210875866322812,16558.875210875867,
0xaf13aee10352f7394a30a7aaf0bf6fa6f5b1cfcf,15757420420764913637891,15757.420420764915,
0x93867b142026e3582fbf2d747987ce7cfcd5cc32,15507908374310007286244,15507.908374310007,
0x890ae53155a2465d9f9ff603a746cbf04e7fb98e,15030629358800258521148,15030.629358800259,
0x9b7a6e6b894e243e994cfaa32ea07d8a60740981,14638037164327962147161,14638.037164327963,
0xa90ff30acc0d7c43b36e6f7871f55d552d06b6ca,14194471574866533511041,14194.471574866533,
0x8a2f5d6d822611bdab08d306aa8f3e3942177417,14037820606368998111695,14037.820606368998,
0xe787deec0be77db98a1294193e2c1600c8a8687d,13119378355185062318597,13119.378355185061,
0x042ed37d32b88ab6b1c2e7b8a400dcdc728050bc,12968587880489759538446,12968.58788048976,
0xd3f93198820a323e898cf764d466dfebd851f2f6,12688228544837179361298,12688.22854483718,
0x164041c3020de5debe825303fefd68b70f23e2fc,12358281069922966432775,12358.281069922965,
0x275d767b951c96e081fd8f7ca6888cd7b8fca43d,12145776751535935751132,12145.776751535937,
0xe20ff024e00a324d6fd29750ebe92e6b4faa2741,12126930759553346340435,12126.930759553346,
0x957a04d49e1fe05d52b49244e4ed32ab451435c2,11952800105291628077642,11952.800105291628,
0xbc9e297a1d1f97198f1d1f01c835e2516b0b71ea,11016917828948706056215,11016.917828948706,
0xbed8c03e31f822bdf450335dc35ec85ef6499b80,10646998220014343947208,10646.998220014344,
0xd939611c3ca425b4f6d4a82591eab3da43c2f4a0,10581727476395683711827,10581.727476395683,
0xdd709cae362972cb3b92dcead77127f7b8d58202,10196105480269739663638,10196.10548026974,
0xa0f75491720835b36edc92d06ddc468d201e9b73,9940173991436622367502,9940.173991436623,
0x46b46931423e711d051e264020acad89c0e147bd,9038040955987719793767,9038.04095598772,
0x83026eff97f966f40ecb2673c7dd74aae84483e6,9018990710112955260521,9018.990710112956,
0x28ea4a0e9899bdce3ae67d7aad4792f9f0780efb,8483426114072422036914,8483.426114072423,
0xe4bc96b24e0bdf87b4b92ed39c1aef8839b090dd,7741221833088121405294,7741.2218330881215,
0x629b1166064abc68a4ea392e37cd4133103d7516,7537616270212350331861,7537.61627021235,
0xec142e3590acff7204852c7f2f336dd1aa3616e4,7390230130084890736430,7390.23013008489,
0x0c24e7cec784e7f27b319054e82cf1093d54ebb8,6984369101669730666566,6984.369101669731,
0x6391d9ef95616af745c64b5d720c4da3f6eaeb71,6860429299958313606408,6860.429299958314,
0x023b26c83b7cbfec9f895fad79ad87f22f9dff57,6798022779324298834815,6798.022779324298,
0xf1a2e8c37540b1b5eda94454c65dea21ad831f8e,6612592821247199607724,6612.592821247199,
0xde910777c787903f78c89e7a0bf7f4c435cbb1fe,6416703406342651090048,6416.703406342652,
0xcde4d4fa46fe2878c6b0530c9b9ac9ab87a38039,6400216513175895112309,6400.216513175896,
0xf7ecae6f035ea4927fde97faa679b5e224afb169,6141120981833505634059,6141.1209818335055,
0x3cacdfa0ad9f144f80fa251e37de54028c8424a4,6061391802560844946121,6061.391802560845,
0x89b76bdda22a59014e7c67a612ca80dad957e13d,5988033460484194962711,5988.033460484195,
