totalEscrowed,isContract,totalStaked,unstaking,unstakingAmount,wallet
78677044425049425830,,184803023943460132116,,"{""type"":""BigNumber"",""hex"":""0x00""}",0x461783a831e6db52d68ba2f3194f6fd1e0087e04
3695056200717804561336,,7473985583997164084812,,"{""type"":""BigNumber"",""hex"":""0x00""}",0x2db6f5e838ed2bad993e9ff2d3d7a5c1cc35704c
6237168319689598244,,0,,,0x1777281a2b6610d40ff726c3e03bbdc3b93d31ad
2080987847382765801494,,771557410245426406116,,"{""type"":""BigNumber"",""hex"":""0x00""}",0x510b0068c0756bbefcbaffb6567e467d661291fe
1098004634896164299741,,98816291835540829108,,"{""type"":""BigNumber"",""hex"":""0x00""}",0x1b89a08d82079337740e1cef68c571069725306e
104587164467905608523,,0,,,0x0a653bd08e2b0a80d1d212d33032953db8298efd
122140222403322585001,,0,,,0xc42c23c8287050c6d0cda3146b89efbb8ab7c748
649972964871921589255,,850062290816212487843,,"{""type"":""BigNumber"",""hex"":""0x00""}",0x526c7665c5dd9cd7102c6d42d407a0d9dc1e431d
17980107289051923965658,,23587252581090095688790,,"{""type"":""BigNumber"",""hex"":""0x00""}",0x885f3a936698b2dd7909caa673bbadf7dfc26fe2
12717956885541808010459,,5641403470862276541525,,"{""type"":""BigNumber"",""hex"":""0x00""}",0x7adc5defa1d360f50e698cda6f509d31284b2684
1755517807358290315256,,0,,,0x9f320ac9c644c9c36bb81f35cea0870419752d0b
21238251748142663889504,,0,,,0x629b1166064abc68a4ea392e37cd4133103d7516
5251984427127805004,,0,,,0xbddafe3c39e7c7bd313e6551e54628eb9ce163dc
1446637655207090773067,,1507707779109765521418,,"{""type"":""BigNumber"",""hex"":""0x00""}",0xcd917bf1dbae5dd0de7daae63926ec81b42faf77
3877998878671831462,,0,,,0xc00696aaa55cdd53eb25e83ccf23552db5004748
489839196753275128,,0,,,0x4257bc72ea94e5f7459190dee12236ee7ee0203c
78002826507967275177,,0,,,0x051203d8cbd5bec7c146f2069732f2f702090bc6
1954049350404753565002,,42812170121696410573,,"{""type"":""BigNumber"",""hex"":""0x00""}",0xdfab977372a039e78839687b8c359465f0f17532
1970061812346308817741,,3591043221257576670656,,"{""type"":""BigNumber"",""hex"":""0x00""}",0x67e5ab5b573f01030a1076dda7a79ef0f31a1bfa
